id,esco_occupation,isco_code,onet_code,onet_occupation,matching_job_titles,semantic_similarity,confidence,concept_uri
1523,physicist,2111,19-2012.00,physicists,"['physicist', 'medical physicist', 'nuclear physicist', 'physicists']",0.829504856467247,2.0,http://data.europa.eu/esco/occupation/7f2761eb-4edc-48ad-9fbf-eed0a0db9a21
2222,cosmologist,2111,19-2012.00,physicists,na,0.7513827025890351,1.0,http://data.europa.eu/esco/occupation/bc659adc-f42c-4ef6-89fe-fd030033f446
350,meteorologist,2112,19-2021.00,atmospheric and space scientists,"['meteorologist', 'atmospheric scientist', 'marine meteorologist']",0.8703017383813858,2.0,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad
2878,metrologist,2112,17-2112.00,industrial engineers,"['metrologist', 'process engineer']",0.8005386173725128,0.5,http://data.europa.eu/esco/occupation/fa5b9075-3796-4e86-be0a-b5e6d725c25a
168,chemist,2113,19-2031.00,chemists,"['chemist', 'inorganic chemist', 'forensic chemist', 'research chemist', 'industrial chemist', 'chemical analyst']",0.8639990031719208,2.0,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da
1605,sensory scientist,2113,19-1012.00,food scientists and technologists,na,0.7158627331256867,1.0,http://data.europa.eu/esco/occupation/8606c0fd-c7cb-404d-887f-3a30ef7a81b4
1610,mineralogist,2114,19-2042.00,"geoscientists, except hydrologists and geographers",['mineralogist'],0.8523025780916214,2.0,http://data.europa.eu/esco/occupation/86a0c9ab-c3fa-41a3-ad3e-d0083036b3d6
1995,geophysicist,2114,19-2042.00,"geoscientists, except hydrologists and geographers","['geophysicist', 'project geophysicist']",0.8592635810375213,2.0,http://data.europa.eu/esco/occupation/a92a3e24-93f0-42b3-9ebb-d2d7d8a72cc5
2344,geologist,2114,19-2042.00,"geoscientists, except hydrologists and geographers","['geologist', 'petroleum geologist', 'volcanologist']",0.8624934345483779,2.0,http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d
90,actuarial consultant,2120,15-2011.00,actuaries,"['actuarial consultant', 'actuaries', 'actuarial analyst', 'health actuary', 'actuarial mathematician', 'consulting actuary', 'insurance actuary', 'actuary']",0.8726330518722534,2.0,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482
294,"gambling, betting, and lottery game developer",2120,15-1199.11,video game designers,na,0.7482840180397035,1.0,http://data.europa.eu/esco/occupation/18552245-3c36-4a52-b4c6-295cabb5c93b
861,"gambling, betting, and lottery quality assurance engineer",2120,39-3019.00,"gaming service workers, all other",na,0.589614263176918,1.0,http://data.europa.eu/esco/occupation/491cf76d-eb0d-4f15-90f0-3f5c9b11472a
1365,mathematician,2120,15-2021.00,mathematicians,['mathematicians'],0.8385348796844483,2.0,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2
